campaign_id,day_no,record_type,dimension_name,population,daily_question_completed,daily_question_rate,daily_question_vs_601,homework_completed,homework_rate,not_jiaxue_population,not_jiaxue_daily_question_completed,not_jiaxue_daily_question_rate,not_jiaxue_homework_completed,not_jiaxue_homework_rate,main_course_denominator,main_course_viewers,main_course_view_rate,main_course_target,main_course_target_completion_rate,main_course_vs_601,main_course_vs_75,assignment_target,assignment_actual_rate,assignment_goal_completion_rate,assignment_vs_601,assignment_vs_75,source_sheet
602,1,channel,裂变专用,504,409,0.812,-0.0529556650246304,409,0.812,198,144,0.727,146,0.737,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,channel,鸿斌直播,250,176,0.704,0.034090909090909,178,0.712,250,176,0.704,178,0.712,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,channel,CPA,164,97,0.591,-0.0372250423011845,95,0.579,158,94,0.595,92,0.582,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,channel,视频号加热,60,26,0.433,,30,0.5,56,24,0.429,28,0.5,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,channel,直播,33,19,0.576,-0.302083333333333,20,0.606,31,17,0.548,18,0.581,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,channel,自然流,11,8,0.727,-0.375515818431912,8,0.727,5,2,0.4,2,0.4,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,channel_total,总计,1022,735,0.719,-0.0876216968011127,740,0.724,698,457,0.655,464,0.665,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,segment,家学学员,324,278,0.858,,,,,,,,,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,segment,焦妈未进阶,231,156,0.675,,,,,,,,,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,segment,全新学员,467,301,0.645,,,,,,,,,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,1,segment_total,总计,1022,735,0.719178082191781,,,,,,,,,1022,846,0.827788649706458,0.7,1.18255521386637,-0.0763617021276594,0.336787234042553,0.55,0.719,1.30727272727273,-0.123783031988873,0.568984700973574,D1数据
602,2,channel,裂变专用,503,380,0.755467196819085,-0.123807894736842,397,0.789264413518887,198,135,0.681818181818182,138,0.696969696969697,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,channel,鸿斌直播,250,130,0.52,0.025,141,0.564,250,130,0.52,141,0.564,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,channel,CPA,164,76,0.463414634146341,0.00305263157894737,81,0.49390243902439,158,73,0.462025316455696,78,0.493670886075949,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,channel,视频号加热,60,18,0.3,,25,0.416666666666667,56,15,0.267857142857143,22,0.392857142857143,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,channel,直播,33,19,0.575757575757576,-0.302631578947368,21,0.636363636363636,31,18,0.580645161290323,19,0.612903225806452,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,channel,自然流,11,6,0.545454545454545,-0.833333333333333,7,0.636363636363636,5,0,0,1,0.2,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,channel_total,总计,1021,629,0.616062683643487,-0.152480127186009,672,0.658178256611165,698,371,0.531518624641834,399,0.57163323782235,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,segment,家学学员,323,258,0.798761609907121,,,,,,,,,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,segment,焦妈未进阶,231,144,0.623376623376623,,,,,,,,,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,segment,全新学员,467,227,0.486081370449679,,,,,,,,,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,2,segment_total,总计,1021,629,0.616062683643487,,,,,,,,,1022,744,0.727984344422701,0.6,1.2133072407045,-0.0802377652885775,0.384602150537634,0.5,0.616062683643487,1.23212536728697,-0.152480127186009,0.487389825119237,D2数据
602,3,channel,裂变专用,503,358,0.711729622266402,-0.156337988826816,371,0.737574552683897,198,125,0.631313131313131,130,0.656565656565657,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,channel,鸿斌直播,250,111,0.444,0.173423423423423,124,0.496,250,111,0.444,124,0.496,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,channel,CPA,164,63,0.384146341463415,-0.00222222222222222,73,0.445121951219512,158,60,0.379746835443038,70,0.443037974683544,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,channel,视频号加热,60,20,0.333333333333333,,23,0.383333333333333,56,17,0.303571428571429,20,0.357142857142857,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,channel,直播,33,16,0.484848484848485,-0.03125,20,0.606060606060606,31,14,0.451612903225806,18,0.580645161290323,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,channel,自然流,11,8,0.727272727272727,-0.375,8,0.727272727272727,5,2,0.4,2,0.4,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,channel_total,总计,1021,576,0.564152791380999,-0.146852430555556,619,0.606268364348678,698,329,0.47134670487106,364,0.521489971346705,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,segment,家学学员,323,247,0.764705882352941,,,,,,,,,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,segment,焦妈未进阶,231,134,0.58008658008658,,,,,,,,,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,segment,全新学员,467,195,0.417558886509636,,,,,,,,,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,3,segment_total,总计,1021,576,0.564152791380999,,,,,,,,,1021,680,0.666013712047013,0.5,1.33202742409403,-0.0624964902428751,0.415927941176471,0.45,0.564152791380999,1.25367286973555,-0.146497916666667,0.50864375,D3数据
602,4,channel,裂变专用,503,319,0.634194831013916,-0.297708463949843,350,0.695825049701789,198,105,0.53030303030303,118,0.595959595959596,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,channel,鸿斌直播,250,119,0.476,0.228991596638655,130,0.52,250,119,0.476,130,0.52,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,channel,CPA,164,53,0.323170731707317,-0.191320754716981,66,0.402439024390244,158,50,0.316455696202532,63,0.39873417721519,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,channel,视频号加热,60,8,0.133333333333333,,15,0.25,56,7,0.125,14,0.25,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,channel,直播,33,19,0.575757575757576,0.131578947368421,20,0.606060606060606,31,17,0.548387096774194,18,0.580645161290323,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,channel,自然流,11,5,0.454545454545455,-1.2,5,0.454545454545455,5,0,0,0,0,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,channel_total,总计,1021,523,0.512242899118511,-0.263072657743786,586,0.573947110675808,698,298,0.426934097421203,343,0.491404011461318,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,segment,家学学员,323,225,0.696594427244582,,,,,,,,,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,segment,焦妈未进阶,231,112,0.484848484848485,,,,,,,,,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,segment,全新学员,467,186,0.398286937901499,,,,,,,,,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,4,segment_total,总计,1021,523,0.512242899118511,,,,,,,,,1021,650,0.636630754162586,0.45,1.41473500925019,-0.141525610427759,0.473792307692308,0.4,0.512242899118511,1.28060724779628,-0.266977055449331,0.484619502868069,D4数据
602,5,channel,裂变专用,503,307,0.610337972166998,-0.250127035830619,336,0.667992047713718,198,97,0.48989898989899,114,0.575757575757576,1021,590,0.577864838393732,0.4,1.44466209598433,-0.144035435459731,0.446237288135593,0.35,0.454456415279138,1.29844690079754,-0.280650862068965,0.468815948275862,D5数据
602,5,channel,鸿斌直播,250,83,0.332,0.153614457831325,100,0.4,250,83,0.332,100,0.4,1021,590,0.577864838393732,0.4,1.44466209598433,-0.144035435459731,0.446237288135593,0.35,0.454456415279138,1.29844690079754,-0.280650862068965,0.468815948275862,D5数据
602,5,channel,CPA,164,43,0.26219512195122,-0.426418604651163,60,0.365853658536585,158,41,0.259493670886076,57,0.360759493670886,1021,590,0.577864838393732,0.4,1.44466209598433,-0.144035435459731,0.446237288135593,0.35,0.454456415279138,1.29844690079754,-0.280650862068965,0.468815948275862,D5数据
602,5,channel,视频号加热,60,9,0.15,,13,0.216666666666667,56,8,0.142857142857143,12,0.214285714285714,1021,590,0.577864838393732,0.4,1.44466209598433,-0.144035435459731,0.446237288135593,0.35,0.454456415279138,1.29844690079754,-0.280650862068965,0.468815948275862,D5数据
602,5,channel,直播,33,15,0.454545454545455,0.2674,14,0.424242424242424,31,14,0.451612903225806,13,0.419354838709677,1021,590,0.577864838393732,0.4,1.44466209598433,-0.144035435459731,0.446237288135593,0.35,0.454456415279138,1.29844690079754,-0.280650862068965,0.468815948275862,D5数据
