period,day_or_stage,time_point,ltv_value,formula,is_final_ltv,cutoff_time,data_layer,source_file,source_sheet,source_row,source_col
601期,D4及之前,,0,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,2
601期,D5,23点,9.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,3
601期,D6,10点,21.3,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,4
601期,D6,14点,33.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,5
601期,D6,16点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,6
601期,D6,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,7
601期,D6,22点,54.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,8
601期,D6,23点,68.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,9
601期,D7,10点,79.2,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,10
601期,D7,14点,100.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,11
601期,D7,16点,111.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,12
601期,D7,18点,114.6,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,13
601期,D7,22点,125.2,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,14
601期,D7,23点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,15
601期,D8,10点,132.3,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,16
601期,D8,14点,139.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,17
601期,D8,16点,142.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,18
601期,D8,18点,145.3,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,19
601期,D8,22点,159.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,20
601期,D8,23点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,21
601期,D9,10点,178.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,22
601期,D9,14点,181.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,23
601期,D9,16点,185.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,24
601期,D9,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,25
601期,D9,22点,202,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,26
601期,D9,23点,211.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,27
601期,D10,10点,222.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,28
601期,D10,14点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,29
601期,D10,16点,229.2,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,30
601期,D10,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,31
601期,D10,22点,230.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,32
601期,D10,23点,262.3,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,33
601期,D11,10点,288.3,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,34
601期,D11,14点,295.3,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,35
601期,D11,16点,306,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,36
601期,D11,18点,310.7,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,37
601期,D11,22点,317.8,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,38
601期,D11,23点,331.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,39
601期,D11,24点,339,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,40
601期,截单,最终LTV,379.2,,1,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,3,41
602期,D4及之前,,14.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,2
602期,D5,23点,"未更新
14单全款，大约40元+14.5元=55元",,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,3
602期,D6,10点,70.8,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,4
602期,D6,14点,91.2,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,5
602期,D6,16点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,6
602期,D6,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,7
602期,D6,22点,102,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,8
602期,D6,23点,111.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,9
602期,D7,10点,126.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,10
602期,D7,14点,129,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,11
602期,D7,16点,/未出单,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,12
602期,D7,18点,/未出单,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,13
602期,D7,22点,136.7,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,14
602期,D7,23点,142.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,15
602期,D8,10点,145.5,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,16
602期,D8,14点,162,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,17
602期,D8,16点,180.4,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,18
602期,D8,18点,/,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,19
602期,D8,22点,191.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,20
602期,D8,23点,196.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,21
602期,D9,10点,196.9,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,22
602期,D9,14点,224.1,,0,,supplement_summary,🧡栋梁材项目数据沉淀.xlsx,实际LTV,4,23
