sheet,row,col,value,formula,data_layer,source_file,source_sheet,source_row,source_col
直播数据2,1,1,营期,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,1,1
直播数据2,1,2,时间点,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,1,2
直播数据2,1,3,601期,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,1,3
直播数据2,1,6,602期,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,1,6
直播数据2,2,3,,='营期整体数据'!T3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,2,3
直播数据2,2,5,备注,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,2,5
直播数据2,2,6,,='营期整体数据'!T4,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,2,6
直播数据2,2,8,备注,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,2,8
直播数据2,3,1,备注,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,3,1
直播数据2,3,3,"【1】黄老师状态一般，前面上太多课了，喉咙也不行。内容过于聚焦产品
【2】浩明营长的状态很好，200元订金哗啦啦",,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,3,3
直播数据2,3,6,"【1】整体黄老师状态很好，内容也很清晰有收获感，但是没怎么提产品、三力、录取制
【2】浩明营长的松弛流畅感反而不如601期，D5没吃晚饭+黄老师在候场，影响发挥",,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,3,6
直播数据2,4,1,"D4
第1场直播",,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,4,1
直播数据2,4,2,20:00:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,4,2
直播数据2,4,3,160,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,4,3
直播数据2,4,4,,=C4/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,4,4
直播数据2,4,6,179,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,4,6
直播数据2,4,7,,=F4/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,4,7
直播数据2,5,2,20:05:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,5,2
直播数据2,5,3,350,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,5,3
直播数据2,5,4,,=C5/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,5,4
直播数据2,5,6,319,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,5,6
直播数据2,5,7,,=F5/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,5,7
直播数据2,6,2,20:10:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,6,2
直播数据2,6,3,416,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,6,3
直播数据2,6,4,,=C6/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,6,4
直播数据2,6,6,410,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,6,6
直播数据2,6,7,,=F6/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,6,7
直播数据2,7,2,20:15:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,7,2
直播数据2,7,3,449,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,7,3
直播数据2,7,4,,=C7/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,7,4
直播数据2,7,6,438,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,7,6
直播数据2,7,7,,=F7/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,7,7
直播数据2,8,2,20:20:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,8,2
直播数据2,8,3,488,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,8,3
直播数据2,8,4,,=C8/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,8,4
直播数据2,8,6,472,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,8,6
直播数据2,8,7,,=F8/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,8,7
直播数据2,9,2,20:25:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,9,2
直播数据2,9,3,500,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,9,3
直播数据2,9,4,,=C9/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,9,4
直播数据2,9,6,473,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,9,6
直播数据2,9,7,,=F9/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,9,7
直播数据2,10,2,20:30:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,10,2
直播数据2,10,3,516,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,10,3
直播数据2,10,4,,=C10/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,10,4
直播数据2,10,6,492,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,10,6
直播数据2,10,7,,=F10/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,10,7
直播数据2,11,2,20:35:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,11,2
直播数据2,11,3,522,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,11,3
直播数据2,11,4,,=C11/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,11,4
直播数据2,11,6,496,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,11,6
直播数据2,11,7,,=F11/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,11,7
直播数据2,12,2,20:40:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,12,2
直播数据2,12,3,525,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,12,3
直播数据2,12,4,,=C12/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,12,4
直播数据2,12,6,490,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,12,6
直播数据2,12,7,,=F12/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,12,7
直播数据2,13,2,20:45:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,13,2
直播数据2,13,3,524,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,13,3
直播数据2,13,4,,=C13/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,13,4
直播数据2,13,6,495,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,13,6
直播数据2,13,7,,=F13/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,13,7
直播数据2,14,2,20:50:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,14,2
直播数据2,14,3,520,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,14,3
直播数据2,14,4,,=C14/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,14,4
直播数据2,14,6,495,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,14,6
直播数据2,14,7,,=F14/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,14,7
直播数据2,14,8,弹2680产品,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,14,8
直播数据2,15,2,20:55:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,15,2
直播数据2,15,3,522,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,15,3
直播数据2,15,4,,=C15/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,15,4
直播数据2,15,6,492,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,15,6
直播数据2,15,7,,=F15/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,15,7
直播数据2,16,2,21:00:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,16,2
直播数据2,16,3,512,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,16,3
直播数据2,16,4,,=C16/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,16,4
直播数据2,16,6,473,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,16,6
直播数据2,16,7,,=F16/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,16,7
直播数据2,16,8,1个2680,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,16,8
直播数据2,17,2,21:05:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,17,2
直播数据2,17,3,/,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,17,3
直播数据2,17,4,/,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,17,4
直播数据2,17,6,471,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,17,6
直播数据2,17,7,,=F17/F$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,17,7
直播数据2,17,8,"最后1分钟
浩明营长闪现",,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,17,8
直播数据2,18,1,"D5
第2场直播",,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,18,1
直播数据2,18,2,20:00:00,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,18,2
直播数据2,18,3,106,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,18,3
直播数据2,18,4,,=C18/C$2,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,18,4
直播数据2,18,6,121,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,直播数据2,18,6
