period,period_status,channel_group,metric,value,formula,data_layer,source_file,source_sheet,source_row,source_col
,unconfirmed,裂变,渠道人数,470,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,11
,unconfirmed,裂变,渠道占比,,=K3/$B3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,12
,unconfirmed,裂变,进阶单数,69.3,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,13
,unconfirmed,裂变,单数转化率,,=M3/K3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,14
,unconfirmed,裂变,广告费,23500,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,15
,unconfirmed,裂变,CAC,,=O3/K3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,16
,unconfirmed,裂变,进阶金额,206620,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,17
,unconfirmed,裂变,ltv,,=Q3/K3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,18
,unconfirmed,裂变,roi,,=Q3/O3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,19
,unconfirmed,CPA,渠道人数,93,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,20
,unconfirmed,CPA,渠道占比,,=T3/$B3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,21
,unconfirmed,CPA,进阶单数,2.66,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,22
,unconfirmed,CPA,产品转化率,,=V3/T3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,23
,unconfirmed,CPA,广告费,11440,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,24
,unconfirmed,CPA,CAC,,=X3/T3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,25
,unconfirmed,CPA,进阶金额,7960,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,26
,unconfirmed,CPA,ltv,,=Z3/T3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,27
,unconfirmed,CPA,roi,,=Z3/X3,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,28
,unconfirmed,裂变,渠道人数,470,,supplement_raw,🧡栋梁材项目数据沉淀.xlsx,流量数据沉淀,3,47
