model,row_type,day,activity,dimension_type,dimension_name,population,completed_count,completion_rate,target_rate,target_achievement_rate,daily_question_rate,homework_rate,main_course_view_rate,status,confidence,visibility,source_files,note
learning_trend,period_activity,D1,主课,period_total,602期,1022,846,0.827789,0.7,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D1,必修,period_total,602期,1022,,,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D1,每日一问,period_total,602期,1022,,0.719,0.55,1.307273,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D2,主课,period_total,602期,1022,744,0.727984,0.6,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D2,必修,period_total,602期,1022,,,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D2,每日一问,period_total,602期,1022,,0.616,0.5,1.232,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D3,主课,period_total,602期,1022,680,0.665362,0.5,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D3,每日一问,period_total,602期,1022,,0.564,0.45,1.253333,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D4,主课,period_total,602期,1022,650,0.636008,0.45,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D4,必修,period_total,602期,1022,,,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D4,每日一问,period_total,602期,1022,,0.512,0.4,1.28,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D5,主课,period_total,602期,1022,590,0.577299,0.4,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D5,必修,period_total,602期,1022,,,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D5,每日一问,period_total,602期,1022,,0.454,0.35,1.297143,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D6,主课,period_total,602期,1022,484,0.473581,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D6,必修,period_total,602期,1022,,,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D6,每日一问,period_total,602期,1022,,0.353,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D7,主课,period_total,602期,1022,450,0.440313,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D7,必修,period_total,602期,1022,,0.3928,,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
learning_trend,period_activity,D7,每日一问,period_total,602期,1022,350,0.342466,0.35,,,,,usable_with_source_note,medium,external_with_scope_note,supplement_course_question_benchmark.csv,补充表营期汇总；正式趋势可与 V1 learning_daily 交叉核验。
