model,row_type,sort_order,metric_id,metric_name,class_name,coach,student_count,count,rate,display_rate,add_friend_rate,in_group_rate,opened_rate,status,confidence,visibility,source_files,note
pre_camp_activation,funnel_step,1,add_friend,加好友,,,1021,998,0.977473,97.7%,,,,usable,high,external_with_scope_note,pre_camp_touch.csv,官方14班口径。
pre_camp_activation,funnel_step,2,in_group,进群,,,1021,963,0.943193,94.3%,,,,usable,high,external_with_scope_note,pre_camp_touch.csv,官方14班口径。
pre_camp_activation,funnel_step,3,opened,开口,,,1021,823,0.806072,80.6%,,,,usable,high,external_with_scope_note,pre_camp_touch.csv,官方14班口径。
pre_camp_activation,class_activation,,class_touch,班级触达,602期57班,木子,59,,,,0.983051,0.966102,0.59322,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期36班,腊梅,60,,,,1.0,0.95,0.6,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期15班,曹燕,72,,,,0.930556,0.902778,0.638889,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期62班,大音希声,104,,,,0.923077,0.865385,0.701923,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期12班,知玥,69,,,,0.971014,0.956522,0.724638,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期26班,柔柔,81,,,,0.987654,0.888889,0.728395,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期16班,欣荣,76,,,,1.0,0.986842,0.789474,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期75班,雅君,72,,,,1.0,0.958333,0.847222,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期98班,瑞瑞,82,,,,0.987805,0.95122,0.865854,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期63班,青青,79,,,,0.962025,0.924051,0.911392,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期51班,一棵树,65,,,,0.969231,0.953846,0.938462,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期17班,欢欢,70,,,,1.0,0.985714,0.971429,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期60班,少芸,78,,,,1.0,0.974359,0.987179,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
pre_camp_activation,class_activation,,class_touch,班级触达,602期08班,莲子,54,,,,1.0,1.0,1.0,usable,high,internal_or_external_with_caveat,pre_camp_touch.csv,低开口班只能定位异常，不能直接解释原因。
